artist,title,year_released,rating,review,genre,query,album_id
Jay-Z,The Black Album,2003,8.0,"game still ridiculous time stunning seven east more its reasonable final his puffy reigning past clear which light elaborate even best bad understandable third brilliant most top choice black certain all every short life logical extreme commercial such new left down tight one impoverished critical true last greatest anticipated intriguing cut 01 Intro
\n\ For Shawn Carter, the last seven years have been ridiculous. In 1996, he came up from an ...",Rap,rap world,9179
Jeff Buckley,Grace: Legacy Edition,2004,9.0,"documentary emotional precious beautiful time live very good more used obvious fanciful his boundless musical chance which raw much best high other conscious third most both kind short future every signed all new real little impressive full one rare tender true late steady established her cut Ten years after its release, legendary vocalist Jeff Buckley's only proper full-length is given the expanded treatment. Like the similar edition of The Clash's London Calling reviewed earlier this week, it's been extravagantly repackaged and appended with two additional discs-- one an audio disc collecting non-album tracks, the other a DVD documentary spotlighting the recordings sessions.",Rock,world tender rock drama steady reading raw,9226
Jessy Lanza,Oh No,2016,7.9,"nervous just day emotional clean time home triumphant general hurt assured its obvious toxic deep casual giggling same feeling silent productive deadly gorgeous static completed light even bad simple blunt straightforward quality most devastating kind moved both all every subtle sad house generative middle baby right junior south poisonous full tropical one these warning last particular acid jerky convinced her green Jessy Lanza's latest is a gorgeous and deadly pop music manifesto, full of pent-up nervous energy set to release.",Pop/R&B,tropical disco house footwork pop wonky,9364
Jet,Get Born,2003,3.7,"screaming just still either time okay anxious telling better sorry old big chance worried angry shameless nice top all life house commercial right mean sure great working five one fresh these last fine complete quick ""Jet! You're finally here! Nice to meet you; I'm Vali, I run the venue. Jesus, guys, I wasn ...",Rock,house pop sleep rock,9380
Jill Scott,Woman,2015,7.1,"lonely just day inventive disillusioned gold reassuring desirous overprotective good more lead its her enough living familiar fifth fun big striking urgent instrumental soothing moving which well another light even best enchanting other less wild most endearing slow all intimate first breathless prepared bouncy trying new great bold interesting strong true fine upbeat street detached different spoken braided Jill Scott's fifth studio album is slow in the way that the familiar is slow: we already know what to expect. With Scott, it's mom-and-pop, all-you-can-eat R&B; sexy fun for grown folk over the age of 40, like speed dating at church.",Pop/R&B,folk rap intimate pop bouncy,9395
Jimmy Eat World,Bleed American,2001,3.5,just either emotional hard live time home lead sincere empty head mindless better his old inside fun away standing well only giving much angry even written best other alive third most bored all life middle important insightful frustrated right new down left serious one these level waste tough understanding Are you a 15-year-old TRL addict looking for a step up from Sum 41 and American Hi-Fi? Something you can ...,Rock,world rock,9429
Jimmy Whispers,Summer in Pain,2015,6.4,"ragged just melancholy work insecure emotional clean far later its head enough better his rudimentary same sweet adopted invited only another light tangled even best pink soft conscious fourth less warm lost life worth middle all eccentric easy first trying down little unconscious corny open true these volatile greatest quick cheap weary spoken alone Jimmy Whispers' quick, sweet bedroom-pop debut is pared down to the basics, spelling out heartbreak and frustration with a tried-and-true palette of organs, drum machines, and a world-weary tremble.",Rock,world warm soul pop breaks,9438
John Carroll Kirby,Blowout,2023,7.1,mere dusty specific still work fantastic aimless time ecstatic early capable more lead orange latest its sturdy his expanding mischievous fixed biggest euphoric robust fun breezy enjoyable frank past opening intuitive giving vibrant infinite best lacy convincing potential cheeky soulful most status limber two melodic easy first expressive rigid new left endless memorable tight tropical palpable least these last energetic steady whose inspired spare otherwise each The latest album from this L.A. session player to the stars reveals him to be a fascinatingly expressive keyboardist who doesn’t take himself too seriously.,Pop/R&B / Jazz,world tropical euphoric funk energetic jazz steady soul pop ambient electro,9537
John Maus,Screen Memories,2017,8.0,"huge bizarre just work either ridiculous upper time home early pretty stilted playful its enough deep his cosmic same rural electric mental professional away esoteric opening pitiless material former which only another standing much overall pink other kind small two fertile all similar super icy modular easy convinced teenage new left blind recent synthetic taut one open next these forward political wise inspired possible strange electronic intellectual party The latest collection from synth-pop retrofuturist and punk intellectual John Maus contains grander, darker songs than his previous albums. It’s a thrill to encounter his singular voice.",Experimental / Rock,world cosmic electronic funk rock baroque scratch punk pop,9574
John Mayer,Sob Rock,2021,6.1,"confident young just work luxurious time global early pretend pretty later its relevant quiet dignified better digital his solid same substantial popular single classic undeniable suave enthusiastic well light much even high thoughtless accurate less notable indefensible kind small lost two worth all life right first new prompt smooth dire eighth next devoted particular late complete contented intriguing established overt Sob Rock is the sound of a man alone in his success. Even if this is one of John Mayer’s stronger albums, the whole thing feels self-consciously minor.",Rock,pop analog fake rock,9577
Joji,BALLADS 1,2018,6.7,bizarre equal near filthy emotional home seven more viral later second quiet toxic hungry his tormented same single dark musical frank usual past moving cleared shiny pink objective high simple social both slow all right first new driven great danceable full friendly one tedious vile fine tired aware rich main elastic Joji’s first full-length project features a host of guests in a quality effort to help push past the confines of his bedroom walls and tedious heartache.,Pop/R&B,world bassline rap pop dark harp grime,9645
Julia Brown,An Abundance of Strawberries,2016,7.9,"willing near conventional just melancholy day work whole home mother its quiet connective his sole old single choppy leading unlikely opening past close able masked well which giving much express even soft experimental creative grand quality most both all every similar such communal full five intended one pristine dense true acid last brown white acoustic random her alone Julia Brown is the lo-fi indie pop project of Maryland-based musician Sam Ray, and An Abundance of Strawberries is their first and possibly final full album. It is a dense and varied collection of homemade pop that pushes against lo-fi limitations at every turn, and it feels like being surrounded by a group of your most creative friends.",Rock,pop jungle experimental dense,9803
Julia Jacklin,Crushing,2019,7.7,"equal favorite just day work whole time good ironic crisp arduous basic second head its assured quiet loving better fleeting earnest final happy same feeling away past suffering only somber much delicate genuine other simple devastating less most slow all life red temporary heavy easy right limited real daunting left full wrenching one exposed hot tender understated energetic thin repeated innocuous her alone weak each On an album that mines failed relationships for self-discovery, the Australian singer-songwriter shows her talent at distilling complex situations into searing couplets.",Rock,crisp tender energetic,9811
Julia Jacklin,Pre Pleasure,2022,7.4,"equal confident dress time connecting wide mother pretty enough living quiet burning adored constant which cross compelling delicate third other blue simple magic less confused most slow lost life every red subtle future patient vivid new real careful modest complicated one understated these inspired intrusive her each The Australian songwriter’s empathetic, understated rock songs sift through a litany of relationships and beliefs, seeking a balance between thinking about life and actually living it.",Rock,soundtrack neon,9812
Julian Casablancas,Phrazes for the Young,2009,5.5,atrocious young just afternoon futuristic hypnotic good east more used depressing worthy his scared uncertain old chance close only momentary even youthful entire moved lost future middle first new trying cool left down full recent one brief younger rebel lower last late manual incredible whose eight unfair Strokes singer makes his solo bow with a record of post-millennial synth-pop.,Electronic / Rock,punk futuristic rock,9815
Julian Casablancas,Tyranny,2014,4.9,"near young just still melancholy work time home early more sugary current long notorious second latest better deep flat his same faded single musical spectacular which exhausted well vibrant sonic written excellent best pink soft fourth creative contradictory less most worst boring certain both key sunny vocal right first abandoned new cool left considerable instant interesting adventurous last level brown daft distant random main The Strokes frontman is back with a new band and a new sound. Tyranny is overloaded with ideas, a palette of vibrant colors swirled together until there’s nothing left but brown; it’s as adventurous as it is unlistenable, a spectacular failure.",Electronic / Rock,rock punk pop neon rolling,9816
K'naan,Troubadour,2009,6.5,"dusty civil horrific still acclaimed deeply major very far more current its enough born his same united substantial inner which formative noble much even western third less most cute both black kind life all admirable formidable arresting ominous first down dire full five independent one legitimate last spoiled thin flippant pointless disastrous surprising Somali-born MC is positing himself as an antidote to what he considers conscience-less, spoiled, insular mainstream rap.",Pop/R&B / Rap,hardcore world rap country comedy,9928
Kacey Musgraves,Golden Hour,2018,8.7,"mere previous just vicious cohesive home mother grim east seven stunning telling its her enough toxic ambitious lovable stirring same bellowing old proper single material standing which well meticulous rustic sonic dynamic bad accessible high third comfortable simple most both radiant misty two life all house spirited absurd total refreshing new golden first left down full scenic bold one gaping these understated last acid least unrealistic sea magnetic front party alone cut The mystical grandeur of Golden Hour creates a magnetic effect as Kacey Musgraves sings simply about the world as if she’s the first person to notice, and you’re the first one she’s telling.",Folk/Country,folk world disco country house pop christmas,9964
Kali Uchis,Isolation,2018,8.6,"willing equal just melancholy work live omnivorous far good more rosy general its used wistful psychedelic ambitious his wonderful solid physical old adjacent breezy past congruous mission invited which giving best destructive plain soaring quality resonant most perky life sad richer vocal right holiday west one last poor rich dreamy her The debut album from the Colombian-American singer is a world of her own. Her wide range pulls in sounds from reggaetón, funk, and R&B and positions her to become a new gravitational force in pop.",Pop/R&B,funk pop jazz soul wistful dreamy,9995
Kano,London Town,2007,4.6,"mere young work superior home appealing original typical more its enough gifted his sweet smart single musical chief several rampant clear which dubious dead crass large bad high alluring conscious quality most confused brilliant bothered baby all hollow two alternative easy commercial new heady cool separate driven smooth reserved recent mature serious massive west one exceptional frustrating calm brown honest street forgotten cut After his commercially disappointing yet artistically successful debut Home Sweet Home, the UK rapper offers a sophomore record that replaces his appealing self-conscious anxiety and innocence with hollow angst, slackened intensity, and Damon Albarn.",Rap,grime rap pop soul,10017
Kanye West,The Life of Pablo,2016,9.0,"just whole major beautiful early various preoccupied good second permanent born hurried final celebrated his content old popping dark big clear which even convincing blue insatiable focused sly turbulent both life every wry first new direct comparable down formal sloppy little complicated full artistic faithful broken west one twisted least fascinating late period inspired party half each scribbled Finally, after a protracted and often chaotic roll-out, the new Kanye West album is here. The Life of Pablo is the first Kanye West album that's just an album: No major statements, no reinventions, no zeitgeist wheelie-popping. But a madcap sense of humor animates all his best work, and the new record has a freewheeling energy that is infectious and unique to his discography.",Rap,rap gospel dark,10027
Kanye West,Yeezus,2013,9.5,"just still work beautiful native good triumphant more later latest its free questionable his happy popular gasping single inside dark apologetic lofty stressful able only another even high ingratiating blunt less evil most top worst all important extreme crashing easy vocal sharpened breathless left endless down west one distressed twisted these latter level eminent entertaining vexed alone ensuing Marking a blunt break with the filigreed maximalism he nailed on My Beautiful Dark Twisted Fantasy, Kanye's sixth solo album trades smooth soul and anthemic choruses for jarring electro, acid house, and industrial grind while delivering some of his most lewd and heart-crushing tales yet.",Rap,pop dancehall dark,10028
Kanye West,ye,2018,7.1,"favorite autographed very seven more certified private its empty enough living free better born his public old leading drunk past clear which much elaborate even shameless bleak minute less most choice bothered all lost vacant right convenient great eighth full appropriate diminutive west one least savvy steady decent whose party eight crumbling Kanye West’s stint in Wyoming created an album born from chaos for chaos’ sake. Though it can be somewhat fascinating, it is undoubtedly a low point in his career.",Rap,steady soul,10029
Katy B,Honey,2016,7.0,"equal just double work emotional opaque time overwhelming far wide more environmental its floating head enough long deep occasional expanding parallel inside single diffuse away continuous collapsing instrumental ideal inner which only another written even best beginning other connected coherent most varied kind small lost all red house vocal new down little cropped smooth deliberate one distinct frustrating these calm four last subterranean next complete pure different iridescent her otherwise each The best songs on Katy B's new album show her caught up in the flow of something so overwhelming she can’t see the beginning or the end of it, time expanding and collapsing with her in its center.",Electronic / Rock,house drama environmental floating grime,10130
Kelis,Tasty,2003,6.5,"half still satisfied fantastic futuristic work time likely far more enough rough low digital his public content single striking past trick excited well slight which much written best even tasty crazy fruitful charismatic less most perfect glossy outer both two all house neither sluggish straight minor right first mean generic memorable left recognizable little full five friendly one spattered critical individualistic adventurous warning poor fine polite steady transparent offbeat woeful decent her alone otherwise When you've been the house chanteuse for The Neptunes for the past five years, you'd expect to have ...",Rap,futuristic disco glossy country house steady soul pop,10200
Kendrick Lamar,DAMN.,2017,9.2,"human just whole precious untitled time longer later its better master low his primary big able mission cross best even powerful fourth most short swift life waiting all house intimate masterful vivid first right such new ready funny down little one nasal distinct west true these last greatest boyish whose daily strange effortless each DAMN. is a widescreen masterpiece of rap, full of expensive beats, furious rhymes, and peerless storytelling about Kendrick’s destiny in America.",Rap,rap blues rock house intimate,10233
Kevin Morby,Harlem River,2013,7.0,"dress subject detailed emotional day time muted more its long ponderous her interior cutting concerned his same lazy electric inside mournful big instrumental chance which written creative negative less focused most slow wild distracting wandering easy modern new daunting little shimmering recent interesting one destroyed wishful rare true vile spiritual different acoustic party proper overt Kevin Morby, who played bass in Woods and the Babies and now resides in Los Angeles, offers a collection of intricately textured songs that function as a love letter to New York City.",Rock,brittle shimmering,10286
Kings of Leon,Only By the Night,2008,3.8,"bizarre young just still local precious understood time linear typical more southern better his happy same sweet single literal away several past only another even blue lost all dominant senior first right real dreaming memorable full artistic sweeping one smarmy stock open these weird last level spoiled impossible corner each Kings of Leon have laterally shifted from one easily understood linear narrative (festival band) to another (arena rock band), turning themselves from the Southern Strokes into the Southern U2.",Rock,world funk rock soul comedy,10452
Kississippi,Mood Ring,2021,6.7,"dress emotional gold home early hurt second long luminous rough dazed same feeling electric caring glittering which much even best less quality most kind swift every formulaic highest first right repetitive interested crucial down blissful lean these carefree opposed fitting gleaming her moody crumbling The latest album from Philly songwriter Zoe Reynolds embraces the synths and glitter of pop music, but it feels most luminous when it’s raw.",Rock,world rock pop emo healing,10475
LAKE,Let's Build a Roof,2009,7.8,"major mother likely good more later second synonymous lulling loose electric strange big rugged amazing instrumental glittering complex well earthy much indicative written even bad clever most buoyant natural sunny dissonant sleepy working impressive derivative remote intended one these last sumptuous acoustic threatening alone unfair gorgeous The Olympia, Wash., group continues quietly to build an impressive arsenal of indie pop songs. Karl Blau produces.",Pop/R&B / Rock,buoyant rock soul airy christmas,10670
LCD Soundsystem,LCD Soundsystem,2005,8.2,"conspicuous near just still either ubiquitous precious time live very good crisp pretty likely more second exact enough free liquid his same content musical amazing clear plus which much cross even best dynamic bad high nine less most top both worst two all similar house right new great sloppy full considerable expected distinct least next last anticipated impeccable daft debatable With two epochal singles and some of the decade's most engaging production and remix work under his belt, the DFA's James Murphy unveils his full-length debut with LCD Soundsystem. Also included on a bonus disc are-- at last-- his seven previously released A- and B-sides.",Electronic / Rock,noise rock crisp house analog punk,10680
LCD Soundsystem,This Is Happening,2010,9.2,"still day whole cultural silver time hypnotic early far ironic pretty current empty long born his old inside past only essential even other perfect status all life obsessive modern vocal first new cool shortsighted tight recent five serious horrible strong bold swimming wanting greatest late quick aware leather her phenomenal On LCD's third LP, James Murphy applies his knowledge of post-punk and studio craft to remake 70s art-rock in his own hyper-modern, self-aware image.",Electronic / Rock,rock soul punk pop rising,10684
La Roux,La Roux,2009,7.0,"indelible bizarre inspiring just work whole precious emotional ecstatic ridiculous promising very far pretty more its enough better concerned gauzy solid same single fun contemporary sharp emblematic which nearby light excellent best even demonstrative most all icy hollow key obsessive minor expressive vocal real creeping lyrical little bountiful derivative creepy instant mature one irresistible level illicit front spoken each This record of unapologetically derivative 80s synth-pop is already a sensation in the UK, boasting a pair of hit singles.",Electronic / Rock,balearic pop gospel remix,10703
Labi Siffre,Crying Laughing Loving Lying,1972,9.0,"acoustic ill older still just day legendary laughing early mother cowardly home more loving playful head unalterable born wicked low fit his lifelong perceptive fixed electric old sweet correct learned frank racial complex close plus which religious well yearning sheer dramatic bad gray third fourth magic evil most unpretentious life baby all important obsessive crying timeless rigid little working holiday heartbroken five one fresh embarrassed next exquisite expansive political alike stirring unlicensed lying Each Sunday, Pitchfork takes an in-depth look at a significant album from the past, and any record not in our archives is eligible. Today, we revisit the British singer-songwriter’s 1972 album, an intimate and delicate collection of queer folk-rock from one of the best voices in his generation.",Pop/R&B / Folk/Country,folk jazz soul pop lounge,10711
Lana Del Rey,Blue Banisters,2021,7.7,"parking near subject work day major time early stunning passing ghostly later second head its used quiet living more born casual thorny boundless sweet old peaceful opening past which fancy bad delicate blue social most black two all easy vocal crucial interested great pastoral serene complicated tight dedicated one distinct these traditional steady honest tired present whose hoarse acoustic her each Lana Del Rey’s second album of the year is a sweeping survey of her talent as a songwriter, stripped of the aesthetic borders she often places around her work.",Pop/R&B,world country peaceful steady pop breaks,10792
Lana Del Rey,Lust for Life,2017,7.7,"still work whole superior time gleaming very more current its obvious born unknown deep happy same dark profound static encouraging cross even purple best obligatory soft symbolic much fourth known grand simple most black glamorous all every wrong neither red life aloof easy logical two first entranced down endless cinematic great full five interesting demanding one worse candid next dense narrow political front rich her beaming The fourth full-length from Lana Del Rey is sincere and sublime, pushing her fascination with pop culture iconography even further while adding a newly personal touch.",Pop/R&B,cinematic dense blues dark hollywood pop violin,10797
Lauryn Hill,The Miseducation of Lauryn Hill,1998,9.5,"afternoon deeply subject whole hard rainy live head regional righteous primary popular old single expensive unrepentant reigning pregnant musical winter routine written even incidental large powerful bad elaborate entire conscious known lying juvenile most warm black all every background extreme first down flushed taut brick least level maternal her corporate The Miseducation of Lauryn Hill is a declaration of independence. With it, Ms. Hill put the entire genre of hip-hop on blast and elevated heartbreak to spiritual proportions.",Pop/R&B,motown horrorcore warm disco rainy rap vintage soul reggae,10907
Lion Babe,Begin,2016,6.2,"half near just work whole very good wide far more pretty enough used personable better his jazzy familiar content constant locked past well only raw dead much even snappy nice other experimental minute less top kind glamorous future all house safe alternative modern likeable rigid refreshing aggressive sure left down new little great one open these substitute last childish narrow blurred strange her forgotten lazy each What's alternative R&B alternative to anymore? Perhaps suffering from the same symptons of B- and C-level grunge bands in the '90s, Lion Babe fail to make good on the strides made by many of their weirder, better genre compatriots.",Pop/R&B,experimental disco funk house airy soul raw pop,11255
Little Joy,Little Joy,2008,7.2,"still just work whole handsome stuffed time early good pretty loving used living enough better occasional forgotten his cosmic old classic amused standard enjoyable unattainable which another crazy even best minute brilliant most perfect cute lucrative slow all every life vast sad new trying great little down broad modest secret one smoky hanging business possible sleepy half Strokes drummer Fabrizio Moretti hooks up with Brazilian Rodrigo Amarante and crashes at Devandra Banhart's, and he winds up casually making the best record involving any of his bandmates in years.",Rock,cosmic world pop hollywood comedy fado rolling,11291
Loose Tooth,Big Day,2017,6.6,"just day still eventual crunchy delirious far wide bubbly gross tenuous later its more loose disciplined occasional thorny his disjointed old constant limitless seething big literal brisk intentional only which deadpan former stylistic nine minute less most endearing two unpredictable red all right first such queasy pedestrian little full sweeping one nasal remarkable four fine thematic waste her lazy overt Philadelphia’s Loose Tooth hopscotch between post-hardcore, midwestern emo, scuzz-rock, and slacker pop. On their eccentric new album, the only constant is stylistic inconsistency.",Rock,hardcore crunchy rock ambient sleep grunge punk pop emo,11416
Lorde,Melodrama,2017,8.8,"mocking young work cultural knowing beautiful time party empty its long better shining spectral his same old single opening which formative only light written even unsteady difficult bright most accepting spacious top house vocal first teenage real exhilarating new endless changing little sleek horrible expected one worse true reckless last dizzying unsure peculiar romantic subterranean volatile thematic pure aware strident her incorrect green Lorde captures emotions like none other. Her second album is a masterful study of being a young woman, a sleek and humid pop record full of grief and hedonism, crafted with the utmost care and wisdom.",Pop/R&B,spacious romantic house pop neon,11425
Lorde,Pure Heroine,2013,7.3,"insulted young older day local major hard time languid hypnotic iconoclastic global very wide more current empty her wasted burning low digital aspiring old single clear which much female other uncomfortable genuine top black moody swift bored lost short all two alternative right first new taunting real afraid working exciting recent wise pure front computer party half On her debut album, 16 year-old New Zealand singer-songwriter Ella Yelich-O’Connor, aka Lorde, has fashioned herself as a correspondent on the front lines of elegantly wasted post-digital youth culture and working-class suburban boredom. Pure Heroine is a collection of throbbing, moody, menacingly anesthetized pop.",Pop/R&B,drama pop world,11426
Lou Reed,"Words & Music, May 1965",2022,7.3,"just day work unadorned hard early more long second its free cutting better unguarded his effective pale faded dark away fragile past stern cruel mythical only slight deadpan harmless dead even beginning other alive blue creative known simple perfect sly future lost life waiting two house stark hollow subdued dirty first bent sick real new charming cool little right artistic one howling bashful these poor honest untamable corner white cheap acoustic lying each Featuring the earliest known renditions of several Velvet Underground classics, this archival set of acoustic demos highlights a formative period in Lou Reed and John Cale’s artistic partnership.",Rock,house dark folk rock,11511
Louis Cole,Time,2018,7.6,just either hard time crisp more unguarded close well delightful powerful third both silly great little twisted stock last peculiar squirrelly jubilant gorgeous still work live home early bruised mistaken mischievous biggest musical instrumental another much even rascally alive flying choice charging life tested ugly bizarre good second soothed immortal his lovely which light soft unusual middle sentimental first secret one double capable seven viral its freaky curious harmonic confused most sly slow all easy real trying cool down these weird strange Drummer Louis Cole’s sidelong blend of hard funk and soft pop—aided by guest spots from Thundercat and Brad Mehldau—remains delightfully sly and off-kilter.,Electronic,world funk fake crisp jazz pop,11513
Lykke Li,Wounded Rhymes,2011,8.3,"still desperate secure time pretty more second its long southern quiet depressing tumultuous rough low eager biggest single dark musical busy close complex which well yearning only normal much compelling even depressive common powerful high bleak comfortable simple rhythmic blunt contradictory intense most vulnerable all astute life stark melodic intimate such poised new brash great little audacious considerable serious one scintillating dense persistent weird next these concise pure rich her alone understanding Swedish star follows her Youth Novels with another record that captures the complex, contradictory, and intense yearning of young adulthood.",Pop/R&B,soundtrack dense intimate dark,11704
L’Rain,Fatigue,2021,8.5,"astounding human game deeply work emotional time mother mercurial more second wacky scattered loose piercing foreboding fragmented fleeting low unapproachable poignant graceful old diffuse inward away subconscious close blaring joyful former light even difficult illegible experimental rhythmic minute personal intense resonant most future less life black background nimble intimate sluggish vocal real south down little rapturous sweeping brief stock these wise marbled woeful whose different shattering repeated her overwhelming The Brooklyn songwriter and sound artist’s second album is a kind of spiritual accounting, a swirling blend of orchestral groans and human whispers that evokes subconscious drift.",Experimental,tribute gospel experimental rock intimate pop saxophone orchestral,11720
L’Rain,L’Rain,2017,6.8,"just either whole clean beautiful mother more its head scattered free wistful rough final bouncing outside lifelong feeling larger single busy several adopted well untidy meditative which giving much chanting even classical difficult entire nine soulful straightforward conversational uncomfortable most personal small all every background bigger heavy nostalgic absurd repetitive first murky mean trapped pastoral goofy heartbroken gentle grieving open these dizzying spiritual rambunctious sleepy her Brooklyn experimentalist Taja Cheek adopted the stage name L’Rain in 2014, and her debut is a beautiful, untidy conduit of her grieving. The album’s unconventional structures lend it a pastoral feel.",Experimental,folk world cello disco noise choral jazz nostalgic murky ambient saxophone wistful classical,11721
M. Ward,Post-War,2006,8.2,just time far more long electric fifth odd both two great little whose gorgeous still live very home pretty later pleasant fun instrumental past only dead much written even positive overall large magic focused every least unsure creaky acoustic favorite beautiful likely triumphant used his familiar substantial amazing which light perfect active right first broken changing one late quick human specific its reminiscent trick disappearing transitional raw internal high intense most kind slow all wet new golden full these inconsequential Consistently rewarding Merge singer-songwriter gets help from Neko Case and My Morning Jacket's Jim James on his latest album.,Rock,raw tribute blues,11741
M.I.A.,Kala,2007,8.9,still slim either cultural more its empty floating enough hairy free better square digital elastic public biggest single fun elementary big away outward sudden usual past which much overall best large even accessible understandable rhythmic personal sparkly kind all admirable important vocal first such limited sure down bountiful audacious woozy one fresh adventurous critical traditional male visceral significant rich her half ugly nan,Global / Pop/R&B,world bassline disco funk eurovision floating,11756
MGMT,Little Dark Age,2018,7.0,"just still whole time good far more its animal soaked engaging wistful psychedelic fit his shaggy electric fun big dark breezy opening chance past away instrumental plus well only much best youthful other uninterested exaggerated known less most focused perfect short two bigger heavy modern commercial first absurd down little left one intended next unrecognizable last acid jazzy surprising initial declining MGMT’s fourth album marks a shift in tactics. Abandoning the belabored excess of their last two albums, they opt for streamlined synth-pop.",Rock,soundtrack chillwave funk dark pop wistful electro,11790
MGMT,Oracular Spectacular,2007,6.8,famous acoustic viscous young just still knowing time early mother pretend more current its thick inspirational fanciful psychedelic electric lithe big unexpected ideal moving spectacular cavernous well which youthful most perfect limber vocal first potent charming new impressive restrained independent gentle west established electronic understanding nan,Rock,bassline disco funk pop rock britpop electronic electro,11792
Mac DeMarco,One Wayne G,2023,6.1,"near conventional identical day work previous just gold spare very early ironic accidental more disposable long its better casual rough his public feeling legible limitless busy instrumental which only light much giant even nine entire whimsical most proud certain all every background nonsensical easy adult little recent five full massive one worse hot chronological these anonymous true acoustic listless forgotten proper This hours-long, 199-song compilation of mostly instrumental work is a canny product of our current streaming era. But at its best, it offers a glimpse into Mac DeMarco’s unique and evolving process.",Rock,soundtrack ambient exotica rock,11831
Mac DeMarco,Salad Days,2014,8.5,"inconvenient just ready quintessential ironic wobbly more orange its second assured worrying living thick better born his welcoming unlikely classic left big opening sleeping uneasy inner which only watery much even best internal common alluring passing known blue less warm kind short lost two all life richer easy real new direct great little down lyrical dreaming full lethal creepy mature one cheap limp tough nonchalant Mac DeMarco's second full-length isn’t a departure from its predecessor so much as a richer, increasingly assured refinement. At its best, it's an outstanding crystallization of his gifts, the real-talk advice of Jonathan Richman with a far more accessible poetic dreaminess.",Rock,warm tribute pop rock,11833
Mac DeMarco,This Old Dog,2017,7.9,"confident whole live very gross more wacky its relentless casual his melodic old fun classic clear which another best even cluttered third fourth less unpretentious life two natural baby every brutal all easy annoying timeless actual such silly new first down little goofy woozy one open worn these least weird unhurried radical acoustic half lazy each On his third album, the antics of Mac DeMarco are muted in favor of his impeccable songwriting, which shines through more than ever with warmth and precision.",Rock,chillwave world drifting rock swing,11834
Make Believe,Make Believe,2005,6.0,favorite slick just work whole squealing capable seven more lead psychedelic his solid cold same usual opening international which only written even overall high connected entire other minute warm focused lost all highest potent such average down little interesting insufferable these prickly unthinkable sudden Debut EP from the new band featuring Pitchfork fave Tim Kinsellas.,Rock,world warm rock emo screamo,11977
Mark Ronson,Version,2007,3.3,"just still work hard silver standoffish more its playful better phenomenal square his big musical abysmal lush giving even round high entire cheeky most jagged certain all formidable bent real new sure down little great interesting one talented twisted these last handy thin white spare party moody cut The hip-hop/nu-soul producer who played a large role in recent albums by Lily Allen and Amy Winehouse enlists some famous friends for a covers album that includes takes on songs by Radiohead, the Smiths, and Coldplay, among others.",Pop/R&B,funk pop rock lush punk tribute,12197
Mastodon,Leviathan,2004,8.5,"offensive young just acclaimed whole time very more its long better involved his forceful same harsh content old wretched healthy away dubious much entire brilliant most lucky both black obsolete all two worth melodic every modern recognized first staggering milky murky little derivative whistling considerable one these true political unquenchable thematic white liberal Mastodon find their niche as a thinking man's metal band. Blending Voivod's neuro-thrash, Therion's majestic gloom, Morbid Angel's spirit of restless and morphing liquid black melody, and EyeHateGod's Southern rock gone awry, Leviathan is nothing short of supernatural.",Metal,metal murky noise sleep,12331
Max Richter,Voices,2020,6.6,human previous double work melancholy unadorned global idealistic native more passing its latest her principal rough hopeful ambitious his primary same mournful lingering away profound solemn supple adept ideal opening lofty which universal curious giving even best insurmountable blue minute most all every two stronger angelic first such wordless down full massive one brief these lower fascinating fitting present established main declining The composer turns to the Universal Declaration of Human Rights of 1948 for inspiration in his bittersweet new orchestral work.,Experimental,world violin reading hopeful,12486
Mazzy Star,Seasons of Your Day,2013,7.8,"day whole hard appealing effective well sonic warm both small lost certain background last romantic established each gorgeous studied still deeply work emotional very captivating later hushed rough solid public away musical enjoyable only another longing even simple every distinctive brief expansive complete acoustic weary dusty beautiful good second feeling pronounced which nice other fourth wild baby aloof first interested modest impressive recent one distinct particular level initial dim young its enough influential yawning best common high most slow all house easy ready left memorable additional faithful lean these After a 17-year hiatus, Mazzy Star are back, and they haven’t lost a thing in the interim. Their fourth album Seasons of Your Day is so faithful to the band's established sound, and is rendered so perfectly, that it’s almost hard to believe.",Rock,folk world warm blues romantic house atmospheric,12528
Mega Bog,Happy Together,2017,7.4,"time far more free low happy lively collapsing absolute known both black mixed vocal such comparable supernatural enigmatic tough each still gold merry following dripping honking mental uneasy much teasing even beeping working dizzying fading yelping period pertinent threatening ugly precious dissolving second psychedelic feeling familiar complex which light giving worst mystical improbable sunny ritzy sinister spooky husky inviting its flexible cold big malleable freaky inner best screeching mundane most all operatic wispy new down lyrical zippy excessive jazzy her Mega Bog is the malleable rock band masterminded by multi-instrumentalist Erin Birgy. Happy Together flits through a sound that is familiar and far-out, transforming the mundane into jazzy wonderlands.",Experimental,disco saxophone,12583
Melody’s Echo Chamber,Bon Voyage,2018,7.1,"double work emotional time grainy stylish more private its second tame intelligible concerned psychedelic deep celebrated central his physical same content blindfolded musical amazing close well only raw sober giving cross infinite distressing spoken most luscious life worth heavy easy absent broken one fatal sacred spiritual late alike anticipated whose her overwhelming Six years and one nearly fatal accident after her promising debut, French singer-songwriter Melody Prochet celebrates her recovery with an album of gleefully overstuffed psych-pop.",Rock,grainy analog soul raw pop,12620
